term,category,description
KW-0570,Annotated Keywords (UniProt),Pentose shunt
KW-0704,Annotated Keywords (UniProt),Schiff base
GO:0009052,Biological Process (Gene Ontology),"Pentose-phosphate shunt, non-oxidative branch"
GO:0004801,Molecular Function (Gene Ontology),Transaldolase activity
GO:0016744,Molecular Function (Gene Ontology),Transketolase or transaldolase activity
IPR001585,Protein Domains and Features (InterPro),Transaldolase/Fructose-6-phosphate aldolase
IPR004730,Protein Domains and Features (InterPro),Transaldolase type 1
IPR018225,Protein Domains and Features (InterPro),"Transaldolase, active site"
KW-0670,Annotated Keywords (UniProt),Pyruvate
KW-0786,Annotated Keywords (UniProt),Thiamine pyrophosphate
GO:0042867,Biological Process (Gene Ontology),Pyruvate catabolic process
GO:0045250,Cellular Component (Gene Ontology),Cytosolic pyruvate dehydrogenase complex
GO:0045254,Cellular Component (Gene Ontology),Pyruvate dehydrogenase complex
GO:0016624,Molecular Function (Gene Ontology),"Oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor"
GO:0016903,Molecular Function (Gene Ontology),"Oxidoreductase activity, acting on the aldehyde or oxo group of donors"
GO:0019842,Molecular Function (Gene Ontology),Vitamin binding
GO:0030976,Molecular Function (Gene Ontology),Thiamine pyrophosphate binding
GO:0042803,Molecular Function (Gene Ontology),Protein homodimerization activity
GO:0046983,Molecular Function (Gene Ontology),Protein dimerization activity
GO:0050997,Molecular Function (Gene Ontology),Quaternary ammonium group binding
GO:1901681,Molecular Function (Gene Ontology),Sulfur compound binding
PF00456,Protein Domains (Pfam),"Transketolase, thiamine diphosphate binding domain"
IPR005474,Protein Domains and Features (InterPro),"Transketolase, N-terminal"
IPR009014,Protein Domains and Features (InterPro),Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II
IPR029061,Protein Domains and Features (InterPro),Thiamin diphosphate-binding fold
GOCC:0045250,Subcellular localization (COMPARTMENTS),Cytosolic pyruvate dehydrogenase complex
GOCC:0045254,Subcellular localization (COMPARTMENTS),Pyruvate dehydrogenase complex
KW-0012,Annotated Keywords (UniProt),Acyltransferase
KW-0450,Annotated Keywords (UniProt),Lipoyl
KW-0677,Annotated Keywords (UniProt),Repeat
GO:0006084,Biological Process (Gene Ontology),acetyl-CoA metabolic process
GO:0006085,Biological Process (Gene Ontology),acetyl-CoA biosynthetic process
GO:0006637,Biological Process (Gene Ontology),acyl-CoA metabolic process
GO:0006790,Biological Process (Gene Ontology),Sulfur compound metabolic process
GO:0033865,Biological Process (Gene Ontology),Nucleoside bisphosphate metabolic process
GO:0033866,Biological Process (Gene Ontology),Nucleoside bisphosphate biosynthetic process
GO:0033875,Biological Process (Gene Ontology),Ribonucleoside bisphosphate metabolic process
GO:0034030,Biological Process (Gene Ontology),Ribonucleoside bisphosphate biosynthetic process
GO:0034032,Biological Process (Gene Ontology),Purine nucleoside bisphosphate metabolic process
GO:0034033,Biological Process (Gene Ontology),Purine nucleoside bisphosphate biosynthetic process
GO:0035383,Biological Process (Gene Ontology),Thioester metabolic process
GO:0035384,Biological Process (Gene Ontology),Thioester biosynthetic process
GO:0043603,Biological Process (Gene Ontology),Cellular amide metabolic process
GO:0043604,Biological Process (Gene Ontology),Amide biosynthetic process
GO:0044272,Biological Process (Gene Ontology),Sulfur compound biosynthetic process
GO:0071616,Biological Process (Gene Ontology),acyl-CoA biosynthetic process
GO:0005504,Molecular Function (Gene Ontology),Fatty acid binding
GO:0008289,Molecular Function (Gene Ontology),Lipid binding
GO:0016407,Molecular Function (Gene Ontology),Acetyltransferase activity
GO:0016417,Molecular Function (Gene Ontology),S-acyltransferase activity
GO:0031405,Molecular Function (Gene Ontology),Lipoic acid binding
GO:0031406,Molecular Function (Gene Ontology),Carboxylic acid binding
GO:0033293,Molecular Function (Gene Ontology),Monocarboxylic acid binding
GO:0043177,Molecular Function (Gene Ontology),Organic acid binding
GO:0140096,Molecular Function (Gene Ontology),"Catalytic activity, acting on a protein"
PF00198,Protein Domains (Pfam),2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00364,Protein Domains (Pfam),Biotin-requiring enzyme
PF02817,Protein Domains (Pfam),e3 binding domain
IPR000089,Protein Domains and Features (InterPro),Biotin/lipoyl attachment
