gene_id,annotated_keywords_uniprot,biological_process_gene_ontology,cellular_component_gene_ontology,local_network_cluster_string,molecular_function_gene_ontology,protein_domains_and_features_interpro,subcellular_localization_compartments
b0008,KW-0808: Transferase|KW-0963: Cytoplasm,GO:0005975: Carbohydrate metabolic process|GO:0044238: Primary metabolic process|GO:1901135: Carbohydrate derivative metabolic process|GO:0006796: Phosphate-containing compound metabolic process|GO:0008152: Metabolic process|GO:0071704: Organic substance metabolic process|GO:0006091: Generation of precursor metabolites and energy|GO:0006740: NADPH regeneration|GO:0051156: Glucose 6-phosphate metabolic process|GO:0006098: Pentose-phosphate shunt|GO:0009987: Cellular process|GO:0006739: NADP metabolic process|GO:0019637: Organophosphate metabolic process|GO:0006793: Phosphorus metabolic process|GO:0044237: Cellular metabolic process,GO:0005737: Cytoplasm|GO:0016020: Membrane|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2112: Gluconeogenesis, and Glycolysis|CL:2135: Mixed, incl. Transaldolase type 1, and Fructose 1,6-bisphosphate 1-phosphatase activity|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2111: Pentose phosphate pathway, and Gluconeogenesis|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2109: Pentose phosphate pathway, and Glycolysis|CL:2012: Carbon metabolism, and Pyruvate metabolism",GO:0003824: Catalytic activity|GO:0016740: Transferase activity,IPR013785: Aldolase-type TIM barrel,GOCC:0005622: Intracellular|GOCC:0005737: Cytoplasm|GOCC:0005829: Cytosol|GOCC:0110165: Cellular anatomical entity
b0114,KW-0324: Glycolysis|KW-0479: Metal-binding|KW-0007: Acetylation|KW-0460: Magnesium|KW-0560: Oxidoreductase,GO:0019752: Carboxylic acid metabolic process|GO:0009150: Purine ribonucleotide metabolic process|GO:0009135: Purine nucleoside diphosphate metabolic process|GO:0032787: Monocarboxylic acid metabolic process|GO:0055086: Nucleobase-containing small molecule metabolic process|GO:0072521: Purine-containing compound metabolic process|GO:0009132: Nucleoside diphosphate metabolic process|GO:0006807: Nitrogen compound metabolic process|GO:0019637: Organophosphate metabolic process|GO:0016052: Carbohydrate catabolic process|GO:0046031: ADP metabolic process|GO:0006793: Phosphorus metabolic process|GO:0044248: Cellular catabolic process|GO:0044282: Small molecule catabolic process|GO:0005975: Carbohydrate metabolic process|GO:0009199: Ribonucleoside triphosphate metabolic process|GO:0016054: Organic acid catabolic process|GO:0009141: Nucleoside triphosphate metabolic process|GO:0006139: Nucleobase-containing compound metabolic process|GO:0006796: Phosphate-containing compound metabolic process|GO:0016310: Phosphorylation|GO:0006091: Generation of precursor metabolites and energy|GO:0009144: Purine nucleoside triphosphate metabolic process|GO:0006757: ATP generation from ADP|GO:0009987: Cellular process|GO:0046939: Nucleotide phosphorylation|GO:0044281: Small molecule metabolic process|GO:0006165: Nucleoside diphosphate phosphorylation|GO:1901575: Organic substance catabolic process|GO:0046395: Carboxylic acid catabolic process|GO:0046483: Heterocycle metabolic process|GO:0044238: Primary metabolic process|GO:0009205: Purine ribonucleoside triphosphate metabolic process|GO:0043436: Oxoacid metabolic process|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:1901360: Organic cyclic compound metabolic process|GO:0006096: Glycolytic process|GO:0009117: Nucleotide metabolic process|GO:0006753: Nucleoside phosphate metabolic process|GO:0006090: Pyruvate metabolic process|GO:0046034: ATP metabolic process|GO:0044237: Cellular metabolic process|GO:0006163: Purine nucleotide metabolic process|GO:0009179: Purine ribonucleoside diphosphate metabolic process|GO:0009185: Ribonucleoside diphosphate metabolic process|GO:0009056: Catabolic process|GO:1901135: Carbohydrate derivative metabolic process|GO:0019693: Ribose phosphate metabolic process|GO:0071704: Organic substance metabolic process|GO:1901564: Organonitrogen compound metabolic process|GO:0006725: Cellular aromatic compound metabolic process|GO:0034641: Cellular nitrogen compound metabolic process|GO:0072329: Monocarboxylic acid catabolic process|GO:0009259: Ribonucleotide metabolic process,GO:0005737: Cytoplasm|GO:0016020: Membrane|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity|GO:0032991: Protein-containing complex|GO:1902494: Catalytic complex|GO:1990204: Oxidoreductase complex,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2016: Pyruvate metabolism, and Glyoxylate bypass|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2014: Citrate cycle (TCA cycle), and Pyruvate metabolism|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2012: Carbon metabolism, and Pyruvate metabolism",GO:0003824: Catalytic activity|GO:0097159: Organic cyclic compound binding|GO:0046872: Metal ion binding|GO:0043168: Anion binding|GO:1901363: Heterocyclic compound binding|GO:0005515: Protein binding|GO:0043167: Ion binding|GO:0000287: Magnesium ion binding|GO:0016491: Oxidoreductase activity|GO:0036094: Small molecule binding|GO:0042802: Identical protein binding|GO:0043169: Cation binding|GO:0005488: Binding,,GOCC:0005737: Cytoplasm|GOCC:0110165: Cellular anatomical entity|GOCC:0032991: Protein-containing complex|GOCC:0005829: Cytosol|GOCC:1902494: Catalytic complex|GOCC:1990204: Oxidoreductase complex|GOCC:0005622: Intracellular
b0115,KW-0007: Acetylation|KW-0808: Transferase|KW-0324: Glycolysis,GO:0090407: Organophosphate biosynthetic process|GO:0019752: Carboxylic acid metabolic process|GO:0009150: Purine ribonucleotide metabolic process|GO:0044271: Cellular nitrogen compound biosynthetic process|GO:0009152: Purine ribonucleotide biosynthetic process|GO:0009135: Purine nucleoside diphosphate metabolic process|GO:0032787: Monocarboxylic acid metabolic process|GO:0055086: Nucleobase-containing small molecule metabolic process|GO:0072521: Purine-containing compound metabolic process|GO:0009132: Nucleoside diphosphate metabolic process|GO:0006807: Nitrogen compound metabolic process|GO:0019637: Organophosphate metabolic process|GO:0016052: Carbohydrate catabolic process|GO:0046031: ADP metabolic process|GO:0006793: Phosphorus metabolic process|GO:0044248: Cellular catabolic process|GO:1901566: Organonitrogen compound biosynthetic process|GO:0044282: Small molecule catabolic process|GO:1901137: Carbohydrate derivative biosynthetic process|GO:0005975: Carbohydrate metabolic process|GO:0009199: Ribonucleoside triphosphate metabolic process|GO:0016054: Organic acid catabolic process|GO:0009141: Nucleoside triphosphate metabolic process|GO:0006139: Nucleobase-containing compound metabolic process|GO:0006796: Phosphate-containing compound metabolic process|GO:0016310: Phosphorylation|GO:0019438: Aromatic compound biosynthetic process|GO:0006091: Generation of precursor metabolites and energy|GO:0009144: Purine nucleoside triphosphate metabolic process|GO:0006757: ATP generation from ADP|GO:0009987: Cellular process|GO:0009260: Ribonucleotide biosynthetic process|GO:0046939: Nucleotide phosphorylation|GO:0044281: Small molecule metabolic process|GO:0006165: Nucleoside diphosphate phosphorylation|GO:0046390: Ribose phosphate biosynthetic process|GO:1901575: Organic substance catabolic process|GO:0006164: Purine nucleotide biosynthetic process|GO:0046395: Carboxylic acid catabolic process|GO:0046483: Heterocycle metabolic process|GO:0044249: Cellular biosynthetic process|GO:1901362: Organic cyclic compound biosynthetic process|GO:0044238: Primary metabolic process|GO:1901293: Nucleoside phosphate biosynthetic process|GO:0009205: Purine ribonucleoside triphosphate metabolic process|GO:0043436: Oxoacid metabolic process|GO:1901576: Organic substance biosynthetic process|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:1901360: Organic cyclic compound metabolic process|GO:0006096: Glycolytic process|GO:0018130: Heterocycle biosynthetic process|GO:0009117: Nucleotide metabolic process|GO:0006753: Nucleoside phosphate metabolic process|GO:0006090: Pyruvate metabolic process|GO:0046034: ATP metabolic process|GO:0072522: Purine-containing compound biosynthetic process|GO:0044237: Cellular metabolic process|GO:0006163: Purine nucleotide metabolic process|GO:0009179: Purine ribonucleoside diphosphate metabolic process|GO:0009185: Ribonucleoside diphosphate metabolic process|GO:0009165: Nucleotide biosynthetic process|GO:0009056: Catabolic process|GO:1901135: Carbohydrate derivative metabolic process|GO:0019693: Ribose phosphate metabolic process|GO:0071704: Organic substance metabolic process|GO:1901564: Organonitrogen compound metabolic process|GO:0009058: Biosynthetic process|GO:0006725: Cellular aromatic compound metabolic process|GO:0034654: Nucleobase-containing compound biosynthetic process|GO:0034641: Cellular nitrogen compound metabolic process|GO:0072329: Monocarboxylic acid catabolic process|GO:0009259: Ribonucleotide metabolic process,GO:0005737: Cytoplasm|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity|GO:0032991: Protein-containing complex|GO:1902494: Catalytic complex|GO:1990204: Oxidoreductase complex,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2016: Pyruvate metabolism, and Glyoxylate bypass|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2014: Citrate cycle (TCA cycle), and Pyruvate metabolism|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2012: Carbon metabolism, and Pyruvate metabolism","GO:0003824: Catalytic activity|GO:0016746: Acyltransferase activity|GO:0097159: Organic cyclic compound binding|GO:0043168: Anion binding|GO:0016740: Transferase activity|GO:1901363: Heterocyclic compound binding|GO:0016747: Acyltransferase activity, transferring groups other than amino-acyl groups|GO:0043167: Ion binding|GO:0036094: Small molecule binding|GO:0005488: Binding",,GOCC:0005737: Cytoplasm|GOCC:0110165: Cellular anatomical entity|GOCC:0032991: Protein-containing complex|GOCC:1902494: Catalytic complex|GOCC:1990204: Oxidoreductase complex|GOCC:0005622: Intracellular
b0116,KW-1003: Cell membrane|KW-0472: Membrane|KW-0997: Cell inner membrane|KW-0324: Glycolysis|KW-0963: Cytoplasm|KW-0520: NAD|KW-0007: Acetylation|KW-0285: Flavoprotein|KW-0560: Oxidoreductase,GO:0019752: Carboxylic acid metabolic process|GO:0009150: Purine ribonucleotide metabolic process|GO:0015980: Energy derivation by oxidation of organic compounds|GO:0006950: Response to stress|GO:0009135: Purine nucleoside diphosphate metabolic process|GO:0043648: Dicarboxylic acid metabolic process|GO:0032787: Monocarboxylic acid metabolic process|GO:0055086: Nucleobase-containing small molecule metabolic process|GO:0072521: Purine-containing compound metabolic process|GO:0009132: Nucleoside diphosphate metabolic process|GO:0006807: Nitrogen compound metabolic process|GO:0019637: Organophosphate metabolic process|GO:0016052: Carbohydrate catabolic process|GO:0046031: ADP metabolic process|GO:0006793: Phosphorus metabolic process|GO:0006520: Cellular amino acid metabolic process|GO:0044248: Cellular catabolic process|GO:0044282: Small molecule catabolic process|GO:0005975: Carbohydrate metabolic process|GO:0006979: Response to oxidative stress|GO:0009199: Ribonucleoside triphosphate metabolic process|GO:0016054: Organic acid catabolic process|GO:0009141: Nucleoside triphosphate metabolic process|GO:0006139: Nucleobase-containing compound metabolic process|GO:0006796: Phosphate-containing compound metabolic process|GO:0016310: Phosphorylation|GO:0006091: Generation of precursor metabolites and energy|GO:0009060: Aerobic respiration|GO:0006757: ATP generation from ADP|GO:0009144: Purine nucleoside triphosphate metabolic process|GO:0009987: Cellular process|GO:0046939: Nucleotide phosphorylation|GO:0050896: Response to stimulus|GO:0044281: Small molecule metabolic process|GO:0006165: Nucleoside diphosphate phosphorylation|GO:0050789: Regulation of biological process|GO:0009063: Cellular amino acid catabolic process|GO:1901575: Organic substance catabolic process|GO:0045333: Cellular respiration|GO:0046395: Carboxylic acid catabolic process|GO:0046483: Heterocycle metabolic process|GO:0044238: Primary metabolic process|GO:0009205: Purine ribonucleoside triphosphate metabolic process|GO:0043436: Oxoacid metabolic process|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:0065007: Biological regulation|GO:1901360: Organic cyclic compound metabolic process|GO:0006096: Glycolytic process|GO:1901606: Alpha-amino acid catabolic process|GO:0009117: Nucleotide metabolic process|GO:0006753: Nucleoside phosphate metabolic process|GO:0006090: Pyruvate metabolic process|GO:1901605: Alpha-amino acid metabolic process|GO:0006099: Tricarboxylic acid cycle|GO:0046034: ATP metabolic process|GO:0044237: Cellular metabolic process|GO:0006163: Purine nucleotide metabolic process|GO:0009179: Purine ribonucleoside diphosphate metabolic process|GO:0009185: Ribonucleoside diphosphate metabolic process|GO:0009056: Catabolic process|GO:1901135: Carbohydrate derivative metabolic process|GO:0019693: Ribose phosphate metabolic process|GO:0071704: Organic substance metabolic process|GO:1901565: Organonitrogen compound catabolic process|GO:1901564: Organonitrogen compound metabolic process|GO:0006725: Cellular aromatic compound metabolic process|GO:0034641: Cellular nitrogen compound metabolic process|GO:0072329: Monocarboxylic acid catabolic process|GO:0009259: Ribonucleotide metabolic process,GO:0071944: Cell periphery|GO:0005886: Plasma membrane|GO:0005737: Cytoplasm|GO:0016020: Membrane|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity|GO:0032991: Protein-containing complex|GO:1902494: Catalytic complex|GO:1990204: Oxidoreductase complex,"CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2016: Pyruvate metabolism, and Glyoxylate bypass|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2014: Citrate cycle (TCA cycle), and Pyruvate metabolism|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2012: Carbon metabolism, and Pyruvate metabolism",GO:0003824: Catalytic activity|GO:0000166: Nucleotide binding|GO:0097159: Organic cyclic compound binding|GO:0046872: Metal ion binding|GO:0043168: Anion binding|GO:1901363: Heterocyclic compound binding|GO:0005515: Protein binding|GO:1901265: Nucleoside phosphate binding|GO:0043167: Ion binding|GO:0036094: Small molecule binding|GO:0016491: Oxidoreductase activity|GO:0046914: Transition metal ion binding|GO:0042802: Identical protein binding|GO:0043169: Cation binding|GO:0005488: Binding|GO:0008270: Zinc ion binding,,GOCC:0005737: Cytoplasm|GOCC:0110165: Cellular anatomical entity|GOCC:0032991: Protein-containing complex|GOCC:0005829: Cytosol|GOCC:1902494: Catalytic complex|GOCC:1990204: Oxidoreductase complex|GOCC:0005622: Intracellular
b0118,KW-0408: Iron|KW-0456: Lyase|KW-0816: Tricarboxylic acid cycle|KW-0004: 4Fe-4S|KW-0479: Metal-binding|KW-0411: Iron-sulfur,GO:0019752: Carboxylic acid metabolic process|GO:0015980: Energy derivation by oxidation of organic compounds|GO:0044262: Cellular carbohydrate metabolic process|GO:0032787: Monocarboxylic acid metabolic process|GO:0044248: Cellular catabolic process|GO:0044282: Small molecule catabolic process|GO:0005975: Carbohydrate metabolic process|GO:0016054: Organic acid catabolic process|GO:0006091: Generation of precursor metabolites and energy|GO:0009060: Aerobic respiration|GO:0009987: Cellular process|GO:0044281: Small molecule metabolic process|GO:0050789: Regulation of biological process|GO:1901575: Organic substance catabolic process|GO:0045333: Cellular respiration|GO:0046395: Carboxylic acid catabolic process|GO:0044238: Primary metabolic process|GO:0043436: Oxoacid metabolic process|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:0065007: Biological regulation|GO:0006099: Tricarboxylic acid cycle|GO:0044237: Cellular metabolic process|GO:0009056: Catabolic process|GO:0071704: Organic substance metabolic process|GO:0006081: Cellular aldehyde metabolic process|GO:0072329: Monocarboxylic acid catabolic process,GO:0005737: Cytoplasm|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity,"CL:2063: Citrate cycle (TCA cycle)|CL:2010: Mixed, incl. Carbon metabolism, and Fatty acid metabolic process|CL:2062: Citrate cycle (TCA cycle)|CL:2013: Carbon metabolism, and Formate C-acetyltransferase activity|CL:2014: Citrate cycle (TCA cycle), and Pyruvate metabolism|CL:2011: Carbon metabolism, and Oxidative phosphorylation|CL:2012: Carbon metabolism, and Pyruvate metabolism","GO:0051539: 4 iron, 4 sulfur cluster binding|GO:0003824: Catalytic activity|GO:0051540: Metal cluster binding|GO:0097159: Organic cyclic compound binding|GO:0046872: Metal ion binding|GO:0016829: Lyase activity|GO:1901363: Heterocyclic compound binding|GO:0043167: Ion binding|GO:0051536: Iron-sulfur cluster binding|GO:0043169: Cation binding|GO:0005488: Binding",,GOCC:0005622: Intracellular|GOCC:0005737: Cytoplasm|GOCC:0005829: Cytosol|GOCC:0110165: Cellular anatomical entity
b0351,KW-0560: Oxidoreductase|KW-0520: NAD,GO:0019752: Carboxylic acid metabolic process|GO:0032787: Monocarboxylic acid metabolic process|GO:0044248: Cellular catabolic process|GO:0044282: Small molecule catabolic process|GO:0016054: Organic acid catabolic process|GO:0009987: Cellular process|GO:0050896: Response to stimulus|GO:0044281: Small molecule metabolic process|GO:1901575: Organic substance catabolic process|GO:0046395: Carboxylic acid catabolic process|GO:0043436: Oxoacid metabolic process|GO:0051716: Cellular response to stimulus|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:1901360: Organic cyclic compound metabolic process|GO:0044237: Cellular metabolic process|GO:0009056: Catabolic process|GO:0071704: Organic substance metabolic process|GO:0006725: Cellular aromatic compound metabolic process|GO:0072329: Monocarboxylic acid catabolic process,,,GO:0003824: Catalytic activity|GO:0000166: Nucleotide binding|GO:0097159: Organic cyclic compound binding|GO:1901363: Heterocyclic compound binding|GO:1901265: Nucleoside phosphate binding|GO:0036094: Small molecule binding|GO:0016491: Oxidoreductase activity|GO:0051287: NAD binding|GO:0005488: Binding,IPR036291: NAD(P)-binding domain superfamily,
b0356,KW-0479: Metal-binding|KW-0963: Cytoplasm|KW-0560: Oxidoreductase|KW-0520: NAD,GO:0044282: Small molecule catabolic process|GO:0009056: Catabolic process|GO:0051716: Cellular response to stimulus|GO:0008152: Metabolic process|GO:0071704: Organic substance metabolic process|GO:0006091: Generation of precursor metabolites and energy|GO:0009987: Cellular process|GO:0050896: Response to stimulus|GO:0006081: Cellular aldehyde metabolic process|GO:0044281: Small molecule metabolic process|GO:1901575: Organic substance catabolic process|GO:0044248: Cellular catabolic process|GO:0044237: Cellular metabolic process,GO:0005737: Cytoplasm|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity,,"GO:0003824: Catalytic activity|GO:0016614: Oxidoreductase activity, acting on CH-OH group of donors|GO:0046872: Metal ion binding|GO:0016616: Oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|GO:0005515: Protein binding|GO:0043167: Ion binding|GO:0046914: Transition metal ion binding|GO:0016491: Oxidoreductase activity|GO:0042802: Identical protein binding|GO:0043169: Cation binding|GO:0005488: Binding|GO:0008270: Zinc ion binding",IPR036291: NAD(P)-binding domain superfamily,GOCC:0005622: Intracellular|GOCC:0005737: Cytoplasm|GOCC:0005829: Cytosol|GOCC:0110165: Cellular anatomical entity
b0451,KW-0812: Transmembrane|KW-0472: Membrane|KW-0997: Cell inner membrane|KW-1003: Cell membrane|KW-0813: Transport|KW-1133: Transmembrane helix,GO:0098660: Inorganic ion transmembrane transport|GO:0034220: Ion transmembrane transport|GO:0051179: Localization|GO:0055085: Transmembrane transport|GO:0098655: Cation transmembrane transport|GO:0006812: Cation transport|GO:0071702: Organic substance transport|GO:0098662: Inorganic cation transmembrane transport|GO:0009987: Cellular process|GO:0051234: Establishment of localization|GO:0006810: Transport|GO:0006811: Ion transport,GO:0071944: Cell periphery|GO:0005886: Plasma membrane|GO:0016020: Membrane|GO:0110165: Cellular anatomical entity|GO:0016021: Integral component of membrane|GO:0031224: Intrinsic component of membrane,"CL:1426: Amino-acid biosynthesis, and Arginine biosynthesis",GO:0022857: Transmembrane transporter activity|GO:0005215: Transporter activity|GO:0042802: Identical protein binding|GO:0015075: Ion transmembrane transporter activity|GO:0005261: Cation channel activity|GO:0005515: Protein binding|GO:0015318: Inorganic molecular entity transmembrane transporter activity|GO:0022803: Passive transmembrane transporter activity|GO:0022890: Inorganic cation transmembrane transporter activity|GO:0015267: Channel activity|GO:0008324: Cation transmembrane transporter activity|GO:0005216: Ion channel activity|GO:0005488: Binding,,
b0474,KW-0067: ATP-binding|KW-0418: Kinase|KW-0963: Cytoplasm|KW-0547: Nucleotide-binding|KW-0007: Acetylation|KW-0808: Transferase,GO:0090407: Organophosphate biosynthetic process|GO:0009150: Purine ribonucleotide metabolic process|GO:0044271: Cellular nitrogen compound biosynthetic process|GO:0009152: Purine ribonucleotide biosynthetic process|GO:0009135: Purine nucleoside diphosphate metabolic process|GO:0055086: Nucleobase-containing small molecule metabolic process|GO:0072521: Purine-containing compound metabolic process|GO:0009132: Nucleoside diphosphate metabolic process|GO:0006807: Nitrogen compound metabolic process|GO:0019637: Organophosphate metabolic process|GO:0046031: ADP metabolic process|GO:0006793: Phosphorus metabolic process|GO:1901566: Organonitrogen compound biosynthetic process|GO:1901137: Carbohydrate derivative biosynthetic process|GO:0006139: Nucleobase-containing compound metabolic process|GO:0006796: Phosphate-containing compound metabolic process|GO:0016310: Phosphorylation|GO:0019438: Aromatic compound biosynthetic process|GO:0009987: Cellular process|GO:0009260: Ribonucleotide biosynthetic process|GO:0044281: Small molecule metabolic process|GO:0046390: Ribose phosphate biosynthetic process|GO:0006164: Purine nucleotide biosynthetic process|GO:0046483: Heterocycle metabolic process|GO:1901362: Organic cyclic compound biosynthetic process|GO:0044249: Cellular biosynthetic process|GO:0044238: Primary metabolic process|GO:1901293: Nucleoside phosphate biosynthetic process|GO:1901576: Organic substance biosynthetic process|GO:0008152: Metabolic process|GO:1901360: Organic cyclic compound metabolic process|GO:0018130: Heterocycle biosynthetic process|GO:0009117: Nucleotide metabolic process|GO:0006753: Nucleoside phosphate metabolic process|GO:0072522: Purine-containing compound biosynthetic process|GO:0044237: Cellular metabolic process|GO:0006163: Purine nucleotide metabolic process|GO:0009179: Purine ribonucleoside diphosphate metabolic process|GO:0009185: Ribonucleoside diphosphate metabolic process|GO:0009165: Nucleotide biosynthetic process|GO:1901135: Carbohydrate derivative metabolic process|GO:0019693: Ribose phosphate metabolic process|GO:0071704: Organic substance metabolic process|GO:1901564: Organonitrogen compound metabolic process|GO:0009058: Biosynthetic process|GO:0006725: Cellular aromatic compound metabolic process|GO:0034654: Nucleobase-containing compound biosynthetic process|GO:0034641: Cellular nitrogen compound metabolic process|GO:0009259: Ribonucleotide metabolic process,GO:0005737: Cytoplasm|GO:0005829: Cytosol|GO:0005622: Intracellular anatomical structure|GO:0110165: Cellular anatomical entity,"CL:35: Translation, and Protein export|CL:40: Ribonucleoprotein, and Translation factor activity, RNA binding|CL:39: Mixed, incl. Ribonucleoprotein, and Translation regulator activity|CL:37: Translation, and Protein export","GO:0000166: Nucleotide binding|GO:0046872: Metal ion binding|GO:0035639: Purine ribonucleoside triphosphate binding|GO:1901265: Nucleoside phosphate binding|GO:0032555: Purine ribonucleotide binding|GO:0030554: Adenyl nucleotide binding|GO:0003824: Catalytic activity|GO:0016301: Kinase activity|GO:0097159: Organic cyclic compound binding|GO:0043168: Anion binding|GO:0005524: ATP binding|GO:0016740: Transferase activity|GO:0016772: Transferase activity, transferring phosphorus-containing groups|GO:0017076: Purine nucleotide binding|GO:0097367: Carbohydrate derivative binding|GO:0032559: Adenyl ribonucleotide binding|GO:0036094: Small molecule binding|GO:0043169: Cation binding|GO:0005488: Binding|GO:1901363: Heterocyclic compound binding|GO:0043167: Ion binding|GO:0000287: Magnesium ion binding|GO:0032553: Ribonucleotide binding",,GOCC:0005622: Intracellular|GOCC:0005737: Cytoplasm|GOCC:0005829: Cytosol|GOCC:0110165: Cellular anatomical entity
b0485,KW-0007: Acetylation,GO:0019752: Carboxylic acid metabolic process|GO:0043648: Dicarboxylic acid metabolic process|GO:0009084: Glutamine family amino acid biosynthetic process|GO:0008652: Cellular amino acid biosynthetic process|GO:0006807: Nitrogen compound metabolic process|GO:0044248: Cellular catabolic process|GO:0006520: Cellular amino acid metabolic process|GO:0009064: Glutamine family amino acid metabolic process|GO:0046394: Carboxylic acid biosynthetic process|GO:0016053: Organic acid biosynthetic process|GO:0044282: Small molecule catabolic process|GO:0016054: Organic acid catabolic process|GO:0009628: Response to abiotic stimulus|GO:0009987: Cellular process|GO:0050896: Response to stimulus|GO:0044281: Small molecule metabolic process|GO:0050789: Regulation of biological process|GO:1901575: Organic substance catabolic process|GO:0009063: Cellular amino acid catabolic process|GO:0046395: Carboxylic acid catabolic process|GO:0044249: Cellular biosynthetic process|GO:0044238: Primary metabolic process|GO:1901576: Organic substance biosynthetic process|GO:0043436: Oxoacid metabolic process|GO:0008152: Metabolic process|GO:0006082: Organic acid metabolic process|GO:0065007: Biological regulation|GO:1901606: Alpha-amino acid catabolic process|GO:1901605: Alpha-amino acid metabolic process|GO:0044237: Cellular metabolic process|GO:0009056: Catabolic process|GO:0071704: Organic substance metabolic process|GO:1901607: Alpha-amino acid biosynthetic process|GO:0044283: Small molecule biosynthetic process|GO:1901565: Organonitrogen compound catabolic process|GO:1901564: Organonitrogen compound metabolic process|GO:0009058: Biosynthetic process|GO:1901566: Organonitrogen compound biosynthetic process,GO:0032991: Protein-containing complex,,GO:0003824: Catalytic activity,,GOCC:0032991: Protein-containing complex
