p1_clean,p2_clean,neighborhood,neighborhood_transferred,fusion,cooccurence,homology,coexpression,coexpression_transferred,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score
b0008,b1723,0,0,0,0,0,0,133,0,0,900,0,265,93,934
b0008,b4232,0,70,0,0,0,53,73,0,0,900,0,522,141,958
b0008,b1779,0,45,0,0,0,73,221,0,0,800,0,711,133,957
b0008,b2417,0,0,0,0,0,66,58,0,0,800,0,208,0,841
b0008,b3916,0,55,0,0,0,131,50,0,0,900,0,604,133,966
b0008,b2779,0,0,0,0,0,133,257,0,69,800,0,623,157,953
b0008,b3386,0,60,0,0,0,113,66,0,133,0,0,808,105,856
b0008,b2925,0,59,0,0,0,73,219,0,0,900,0,543,95,965
b0008,b1852,0,98,0,0,0,88,345,0,171,0,0,805,156,909
b0008,b1621,0,0,0,0,0,0,114,0,0,800,0,0,63,819
b0008,b3919,0,62,0,0,0,131,268,0,113,800,0,786,156,975
b0008,b4025,0,98,0,0,0,73,375,0,0,900,0,804,156,989
b0008,b1101,0,0,0,0,0,0,114,0,0,800,0,269,63,862
b0008,b3925,0,62,0,0,0,0,0,0,0,900,0,395,100,942
b0008,b2029,0,76,0,0,0,144,527,0,111,0,0,809,133,932
b0008,b0755,0,55,0,0,0,110,65,0,76,800,0,451,132,910
b0008,b2935,0,76,0,0,0,183,348,0,146,900,0,937,133,997
b0008,b2097,0,59,0,0,0,0,126,0,0,900,0,330,50,938
b0008,b4395,0,62,0,0,0,0,57,0,0,800,0,202,70,844
b0008,b1702,0,61,0,0,0,49,0,0,0,800,0,680,137,941
b0008,b1854,0,61,0,0,0,54,122,0,0,800,0,529,110,919
b0008,b2464,0,0,0,60,974,0,0,0,0,900,0,42,0,902
b0008,b3612,0,0,0,0,0,0,0,0,69,800,0,156,143,847
b0008,b2926,0,61,0,0,0,132,127,0,0,0,0,734,156,811
b0008,b1676,0,61,0,0,0,0,122,0,0,800,0,543,110,920
b0008,b2465,0,76,0,0,0,0,348,0,146,900,0,935,133,996
b0008,b2914,0,76,0,0,0,183,125,0,84,0,0,622,139,757
b0008,b0114,0,0,0,0,0,69,54,0,0,800,0,325,106,874
b0114,b3951,0,0,0,0,0,0,0,0,0,900,0,74,0,903
b0114,b0115,737,98,16,755,0,999,348,903,0,900,0,978,151,999
b0114,b2463,0,198,0,0,0,0,58,0,0,900,0,230,315,952
b0114,b1852,0,0,0,0,0,77,0,0,0,800,0,522,211,921
b0114,b2925,0,0,0,0,0,71,158,0,0,800,0,261,125,880
b0114,b0726,0,0,0,238,0,50,0,0,0,0,0,731,285,842
b0114,b2296,0,0,0,0,0,54,141,0,0,0,0,621,155,704
b0114,b4025,0,66,0,0,0,80,68,0,0,800,0,386,286,913
b0114,b2133,0,0,0,0,0,47,0,0,0,900,0,385,0,936
b0114,b1380,0,0,0,0,0,0,0,0,0,900,0,624,48,961
b0114,b0903,0,0,0,0,0,72,0,0,0,900,0,529,0,952
b0114,b0008,0,0,0,0,0,69,54,0,0,800,0,325,106,874
b0114,b1479,0,96,0,0,0,67,0,0,0,900,0,101,140,922
b0114,b0727,0,98,0,182,0,55,348,0,0,0,0,544,151,783
b0114,b2464,0,0,0,0,0,0,54,0,0,800,0,264,106,858
b0114,b0720,0,0,0,0,0,0,156,0,0,500,0,731,155,891
b0114,b1854,0,45,0,0,0,0,118,0,0,900,0,385,141,947
b0114,b2465,0,0,0,0,0,0,68,0,0,800,0,267,135,865
b0114,b3114,0,0,0,0,0,0,0,0,0,900,0,383,0,935
b0114,b1676,0,45,0,0,0,47,118,0,0,900,0,501,141,957
b0114,b2097,0,0,0,0,0,0,0,0,0,800,0,274,0,848
b0114,b3956,0,0,0,0,0,46,0,0,0,0,0,622,285,719
b0114,b2935,0,0,0,0,0,69,68,0,0,800,0,391,135,891
b0114,b3403,0,0,0,0,0,0,0,0,0,800,0,503,82,900
b0114,b2297,0,109,0,0,0,182,132,0,0,0,0,621,315,805
b0114,b1702,0,0,0,0,0,0,0,0,0,900,0,530,208,959
b0114,b0116,384,95,0,715,0,787,220,113,0,900,0,974,126,999
b0115,b4015,0,0,0,0,0,0,0,0,0,0,0,684,144,717
b0115,b0726,0,98,87,434,0,47,648,0,620,0,566,621,153,988
b0115,b3951,0,0,0,0,0,0,102,0,0,900,0,78,98,915
b0115,b2976,0,0,0,0,0,0,0,0,0,900,0,91,132,914
b0115,b3962,0,65,292,357,0,0,402,0,487,0,253,75,105,891
b0115,b0728,0,98,6,0,0,51,390,0,129,800,0,541,154,954
b0115,b2458,0,65,0,0,0,0,70,0,0,900,0,324,105,937
b0115,b0720,0,76,0,0,0,0,259,0,186,900,0,530,133,972
b0115,b0903,0,0,0,0,0,52,102,0,0,900,0,400,98,945
b0115,b1676,0,51,2,0,0,0,58,0,0,500,0,504,133,772
b0115,b0729,0,65,4,0,0,51,365,0,88,800,0,584,105,950
b0115,b0114,737,98,16,755,0,999,348,903,0,900,0,978,151,999
