gene_id,protein_size,annotation
b0008,317,Transaldolase B; Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway.
b0114,887,"Pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding; Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)."
b0115,630,"Pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). It contains multiple copies of three enzymatic components: pyruvate dehydrogenase (E1), dihydrolipoamide acetyltransferase (E2) and lipoamide dehydrogenase (E3)."
b0116,474,Dihydrolipoyl dehydrogenase; Lipoamide dehydrogenase is a component of the glycine cleavage system as well as of the alpha-ketoacid dehydrogenase complexes.
b0118,865,"Aconitate hydratase 2; Involved in the catabolism of short chain fatty acids (SCFA) via the tricarboxylic acid (TCA)(acetyl degradation route) and the 2- methylcitrate cycle I (propionate degradation route). Catalyzes the reversible isomerization of citrate to isocitrate via cis-aconitate. Also catalyzes the hydration of 2-methyl-cis-aconitate to yield (2R,3S)-2-methylisocitrate. The apo form of AcnB functions as a RNA- binding regulatory protein. During oxidative stress inactive AcnB apo- enzyme without iron sulfur clusters binds the acnB mRNA 3' UTRs (untranslated regions), stabilize [...] "
b0351,316,"acetaldehyde-CoA dehydrogenase II, NAD-binding; Catalyzes the conversion of acetaldehyde to acetyl-CoA, using NAD(+) and coenzyme A. Is the final enzyme in the meta-cleavage pathway for the degradation of 3-phenylpropanoate. Functions as a chaperone protein for folding of MhpE."
b0356,369,"Alcohol dehydrogenase class III; Has high formaldehyde dehydrogenase activity in the presence of glutathione and catalyzes the oxidation of normal alcohols in a reaction that is not GSH-dependent. In addition, hemithiolacetals other than those formed from GSH, including omega-thiol fatty acids, also are substrates; Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily."
b0451,428,Ammonium transporter; Involved in the uptake of ammonia; Belongs to the ammonia transporter channel (TC 1.A.11.2) family.
b0474,214,Adenylate kinase; Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism; Belongs to the adenylate kinase family.
b0485,310,Putative glutaminase; Protein involved in cellular amino acid catabolic process.
